lon,lat
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.491719,51.893905
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.508651,51.902421
-8.499975,51.888465
-8.499975,51.888465
-8.499975,51.888465
-8.499975,51.888465
-8.499975,51.888465
-8.499975,51.888465
-8.499975,51.888465
-8.499975,51.888465
